start_vid,end_vid,agg_cost,,,,,,
A,A,100,,,,,,
A,B,3.761534539,,,,,,
A,C,5.287650234,,,,,,
A,D,2.718792085,,,,,,
A,E,0.893669476,,,,,,
A,F,5.867062498,,,,,,
A,G,3.971557268,,,,,,
A,H,3.720023801,,,,,,
A,I,1.612613049,,,,,,
A,J,5.558494133,,,,,,
A,K,3.391502037,,,,,,
A,L,5.929729838,,,,,,
A,M,3.191537666,,,,,,
A,N,2.028404255,,,,,,
A,O,3.06778202,,,,,,
A,P,3.016137017,,,,,,
B,A,3.761534539,,,,,,
B,B,100,,,,,,
B,C,4.101404784,,,,,,
B,D,1.564576722,,,,,,
B,E,3.360608922,,,,,,
B,F,2.379904637,,,,,,
B,G,1.580764733,,,,,,
B,H,0.765282924,,,,,,
B,I,2.160566655,,,,,,
B,J,2.108787551,,,,,,
B,K,2.26950789,,,,,,
B,L,2.480023256,,,,,,
B,M,3.254544408,,,,,,
B,N,3.361985628,,,,,,
B,O,0.699359335,,,,,,
B,P,3.348362424,,,,,,
C,A,5.287650234,,,,,,
C,B,4.101404784,,,,,,
C,C,100,,,,,,
C,D,5.665981506,,,,,,
C,E,4.506158534,,,,,,
C,F,4.603746692,,,,,,
C,G,5.671504884,,,,,,
C,H,4.863665586,,,,,,
C,I,6.261971439,,,,,,
C,J,4.203259292,,,,,,
C,K,6.361143286,,,,,,
C,L,4.574494998,,,,,,
C,M,7.306913538,,,,,,
C,N,4.01192382,,,,,,
C,O,3.887848796,,,,,,
C,P,7.402970696,,,,,,
D,A,2.718792085,,,,,,
D,B,1.564576722,,,,,,
D,C,5.665981506,,,,,,
D,D,100,,,,,,
D,E,2.322455192,,,,,,
D,F,3.426254176,,,,,,
D,G,1.375484208,,,,,,
D,H,1.001231716,,,,,,
D,I,1.106718583,,,,,,
D,J,3.248311853,,,,,,
D,K,0.813707962,,,,,,
D,L,3.619547559,,,,,,
D,M,1.692860071,,,,,,
D,N,2.508304495,,,,,,
D,O,1.869683599,,,,,,
D,P,1.786678087,,,,,,
E,A,0.893669476,,,,,,
E,B,3.360608922,,,,,,
E,C,4.506158534,,,,,,
E,D,2.322455192,,,,,,
E,E,100,,,,,,
E,F,5.339877712,,,,,,
E,G,3.6979394,,,,,,
E,H,3.320095959,,,,,,
E,I,1.76743072,,,,,,
E,J,5.031309346,,,,,,
E,K,3.135006241,,,,,,
E,L,5.402545052,,,,,,
E,M,3.220343232,,,,,,
E,N,1.248987079,,,,,,
E,O,2.666856402,,,,,,
E,P,3.077770554,,,,,,
F,A,5.867062498,,,,,,
F,B,2.379904637,,,,,,
F,C,4.603746692,,,,,,
F,D,3.426254176,,,,,,
F,E,5.339877712,,,,,,
F,F,100,,,,,,
F,G,2.057722993,,,,,,
F,H,2.435671049,,,,,,
F,I,4.532972759,,,,,,
F,J,0.602672964,,,,,,
F,K,2.751117115,,,,,,
F,L,0.273064054,,,,,,
F,M,2.891092861,,,,,,
F,N,5.212487092,,,,,,
F,O,3.007781236,,,,,,
F,P,2.987150019,,,,,,
G,A,3.971557268,,,,,,
G,B,1.580764733,,,,,,
G,C,5.671504884,,,,,,
G,D,1.375484208,,,,,,
G,E,3.6979394,,,,,,
G,F,2.057722993,,,,,,
G,G,100,,,,,,
G,H,0.8156424,,,,,,
G,I,2.482202791,,,,,,
G,J,1.960371954,,,,,,
G,K,0.693394123,,,,,,
G,L,2.330787047,,,,,,
G,M,1.679731244,,,,,,
G,N,3.709808854,,,,,,
G,O,1.888245172,,,,,,
G,P,1.77473396,,,,,,
H,A,3.720023801,,,,,,
H,B,0.765282924,,,,,,
H,C,4.863665586,,,,,,
H,D,1.001231716,,,,,,
H,E,3.320095959,,,,,,
H,F,2.435671049,,,,,,
H,G,0.8156424,,,,,,
H,H,100,,,,,,
H,I,2.107950299,,,,,,
H,J,2.313402107,,,,,,
H,K,1.504385557,,,,,,
H,L,2.684637812,,,,,,
H,M,2.489422075,,,,,,
H,N,3.323827568,,,,,,
H,O,1.072763363,,,,,,
H,P,2.58324009,,,,,,
I,A,1.612613049,,,,,,
I,B,2.160566655,,,,,,
I,C,6.261971439,,,,,,
I,D,1.106718583,,,,,,
I,E,1.76743072,,,,,,
I,F,4.532972759,,,,,,
I,G,2.482202791,,,,,,
I,H,2.107950299,,,,,,
I,I,100,,,,,,
I,J,4.269354206,,,,,,
I,K,1.919269632,,,,,,
I,L,4.640589911,,,,,,
I,M,1.779678373,,,,,,
I,N,3.012875854,,,,,,
I,O,2.384815123,,,,,,
I,P,1.604277725,,,,,,
J,A,5.558494133,,,,,,
J,B,2.108787551,,,,,,
J,C,4.203259292,,,,,,
J,D,3.248311853,,,,,,
J,E,5.031309346,,,,,,
J,F,0.602672964,,,,,,
J,G,1.960371954,,,,,,
J,H,2.313402107,,,,,,
J,I,4.269354206,,,,,,
J,J,100,,,,,,
J,K,2.653766077,,,,,,
J,L,0.438029944,,,,,,
J,M,3.490699171,,,,,,
J,N,4.903918726,,,,,,
J,O,2.699212871,,,,,,
J,P,3.586756329,,,,,,
K,A,3.391502037,,,,,,
K,B,2.26950789,,,,,,
K,C,6.361143286,,,,,,
K,D,0.813707962,,,,,,
K,E,3.135006241,,,,,,
K,F,2.751117115,,,,,,
K,G,0.693394123,,,,,,
K,H,1.504385557,,,,,,
K,I,1.919269632,,,,,,
K,J,2.653766077,,,,,,
K,K,100,,,,,,
K,L,3.02418117,,,,,,
K,M,1.101738462,,,,,,
K,N,3.322012457,,,,,,
K,O,2.576988329,,,,,,
K,P,1.195556477,,,,,,
L,A,5.929729838,,,,,,
L,B,2.480023256,,,,,,
L,C,4.574494998,,,,,,
L,D,3.619547559,,,,,,
L,E,5.402545052,,,,,,
L,F,0.273064054,,,,,,
L,G,2.330787047,,,,,,
L,H,2.684637812,,,,,,
L,I,4.640589911,,,,,,
L,J,0.438029944,,,,,,
L,K,3.02418117,,,,,,
L,L,100,,,,,,
L,M,3.164156915,,,,,,
L,N,5.275154432,,,,,,
L,O,3.070448576,,,,,,
L,P,3.260214074,,,,,,
M,A,3.191537666,,,,,,
M,B,3.254544408,,,,,,
M,C,7.306913538,,,,,,
M,D,1.692860071,,,,,,
M,E,3.220343232,,,,,,
M,F,2.891092861,,,,,,
M,G,1.679731244,,,,,,
M,H,2.489422075,,,,,,
M,I,1.779678373,,,,,,
M,J,3.490699171,,,,,,
M,K,1.101738462,,,,,,
M,L,3.164156915,,,,,,
M,M,100,,,,,,
M,N,4.200925133,,,,,,
M,O,3.562024847,,,,,,
M,P,0.231954725,,,,,,
N,A,2.028404255,,,,,,
N,B,3.361985628,,,,,,
N,C,4.01192382,,,,,,
N,D,2.508304495,,,,,,
N,E,1.248987079,,,,,,
N,F,5.212487092,,,,,,
N,G,3.709808854,,,,,,
N,H,3.323827568,,,,,,
N,I,3.012875854,,,,,,
N,J,4.903918726,,,,,,
N,K,3.322012457,,,,,,
N,L,5.275154432,,,,,,
N,M,4.200925133,,,,,,
N,N,100,,,,,,
N,O,2.668233108,,,,,,
N,P,4.294743148,,,,,,
O,A,3.06778202,,,,,,
O,B,0.699359335,,,,,,
O,C,3.887848796,,,,,,
O,D,1.869683599,,,,,,
O,E,2.666856402,,,,,,
O,F,3.007781236,,,,,,
O,G,1.888245172,,,,,,
O,H,1.072763363,,,,,,
O,I,2.384815123,,,,,,
O,J,2.699212871,,,,,,
O,K,2.576988329,,,,,,
O,L,3.070448576,,,,,,
O,M,3.562024847,,,,,,
O,N,2.668233108,,,,,,
O,O,100,,,,,,
O,P,3.655842862,,,,,,
P,A,3.016137017,,,,,,
P,B,3.348362424,,,,,,
P,C,7.402970696,,,,,,
P,D,1.786678087,,,,,,
P,E,3.077770554,,,,,,
P,F,2.987150019,,,,,,
P,G,1.77473396,,,,,,
P,H,2.58324009,,,,,,
P,I,1.604277725,,,,,,
P,J,3.586756329,,,,,,
P,K,1.195556477,,,,,,
P,L,3.260214074,,,,,,
P,M,0.231954725,,,,,,
P,N,4.294743148,,,,,,
P,O,3.655842862,,,,,,
P,P,100,,,,,,
